PFCD(3-6),ProcessNO,Repair Rework Count,ChangeGrade,D1,D2,D3,D4,D5
31501,4650,1,P0,CLDOP,CLDSH,CLDOT,,
31501,4650,1,P2,CDRBP,CDGBP,CDBBP,CDAB2,CDAB3
31501,4650,1,P2,CDABO,CDWBP,CDBTD,CDBDD,CDLEK
31501,4650,1,P2,CDBTT,CDBDT,CFRLS,CFGLS,CFBLS
31502,4650,1,P0,CLDSH,CLDOT,,,
31502,4650,1,P2,CDRBP,CDGBP,CDBBP,CDAB2,CDAB3
31502,4650,1,P2,CDABO,CDWBP,CDBTD,CDBDD,CDLEK
31502,4650,1,P2,CDBTT,CDBDT,CFRLS,CFGLS,CFBLS
31501,4650,1,P0,CLDOP,CLDSH,CLDOT,,
31501,3650,1,P2,AAAAA,,,,
31502,3650,1,P2,AAAAA,,,,
